Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
356.44 ,2.5,4.3,15,30,Phospholipid 90G,24,20,40,150,0,62.43,,,,,,,,,,,,,
356.44 ,2.5,4.3,15,70,Phospholipid 90G,24,20,40,150,0,94.81,,,,,,,,,,,,,
424.5,3.8,4.3,15,50,Phospholipid 90G,24,10,40,150,0,75.23,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,70,Phospholipid 90G,24,10,40,150,0,94.76,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,30,40,150,0,65.32,,,,,,,,,,,,,
424.5,3.8,4.3,30,50,Phospholipid 90G,24,10,40,150,0,66.21,,,,,,,,,,,,,
424.5,3.8,4.3,15,50,Phospholipid 90G,24,20,40,150,0,83.22,,,,,,,,,,,,,
424.5,3.8,4.3,30,70,Phospholipid 90G,24,20,40,150,0,82.23,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,30,Phospholipid 90G,24,30,40,150,0,66.21,,,,,,,,,,,,,
424.5,3.8,4.3,15,50,Phospholipid 90G,24,20,40,150,0,74.32,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,10,40,150,0,82.76,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,72.21,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,73.98,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,30,Phospholipid 90G,24,20,40,150,0,64.23,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,75.32,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,75.29,,,,,,,,,,,,,
424.5,3.8,4.3,30,50,Phospholipid 90G,24,30,40,150,0,57.23,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,70,Phospholipid 90G,24,30,40,150,0,67.54,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,30,40,150,0,58.45,,,,,,,,,,,,,
424.5,3.8,4.3,30,50,Phospholipid 90G,24,20,40,150,0,60.99,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,70,Phospholipid 90G,24,20,40,150,0,75.23,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,10,40,150,0,82.32,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,70,Phospholipid 90G,24,20,40,150,0,95.32,,,,,,,,,,,,,
424.5,3.8,4.3,30,30,Phospholipid 90G,24,20,40,150,0,69.43,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,50,Phospholipid 90G,24,20,40,150,0,81.65,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,30,Phospholipid 90G,24,10,40,150,0,65.09,,,,,,,,,,,,,
424.5,3.8,4.3,30,50,Phospholipid 90G,24,20,40,150,0,72.23,,,,,,,,,,,,,
424.5,3.8,4.3,15,50,Phospholipid 90G,24,30,40,150,0,65.32,,,,,,,,,,,,,
424.5,3.8,4.3,22.5,30,Phospholipid 90G,24,20,40,150,0,70.23,,,,,,,,,,,,,
424.5,3.8,4.3,15,30,Phospholipid 90G,24,20,40,150,0,63.87,,,,,,,,,,,,,
424.5,3.8,4.3,15,70,Phospholipid 90G,24,20,40,150,0,95.65,,,,,,,,,,,,,
307.429,2.14,16.9,20,150,Phospholipid 90G,,60,50,5,0,,218.1,-16.8,,,,,,,,,,,
307.429,2.14,16.9,10,150,Phospholipid 90G,,60,50,5,0,,237.5,-22.9,,,,,,,,,,,
307.429,2.14,16.9,20,50,Phospholipid 90G,,60,50,5,0,,193,-17.9,,,,,,,,,,,
307.429,2.14,16.9,30,100,Phospholipid 90G,,60,50,5,0,,153.2,-16.1,,,,,,,,,,,
307.429,2.14,16.9,20,100,Phospholipid 90G,,60,50,5,0,,138.7,-12,,,,,,,,,,,
307.429,2.14,16.9,30,150,Phospholipid 90G,,60,50,5,0,,254.9,-19.7,,,,,,,,,,,
307.429,2.14,16.9,10,100,Phospholipid 90G,,60,50,5,0,,142.3,-18.3,,,,,,,,,,,
307.429,2.14,16.9,30,50,Phospholipid 90G,,60,50,5,0,,218.8,-22.7,,,,,,,,,,,
307.429,2.14,16.9,10,50,Phospholipid 90G,,60,50,5,0,,203.6,-23.8,,,,,,,,,,,
1485.7 ,-4.4,16.7,40,40,Phosphatidylcholine,,20,75,15,1,87.21,83.39,-20,,,,,,,,,,,
1485.7 ,-4.4,16.7,20,60,Phosphatidylcholine,,20,75,15,1,79.98,70.65,-24,,,,,,,,,,,
1485.7 ,-4.4,16.7,30,60,Phosphatidylcholine,,20,75,15,1,82.9,70.15,-22.8,,,,,,,,,,,
1485.7 ,-4.4,16.7,15,90,Phosphatidylcholine,,20,75,15,1,80.77,77.94,-19.5,,,,,,,,,,,
